grp,crash,still_publishing_t5,still_in_topic_t5,moved_t5,share_new_scientists
entrant,False,0.7426508016118194,0.20401654275051256,0.5437752781106044,0.29211648093569836
entrant,True,0.6655817828794179,0.12270779554094166,0.5471245620169167,0.31191927720702556
incumbent,False,0.9390261697243845,0.6991127099667196,0.24993966876750306,0.0
incumbent,True,0.9063366831885772,0.597589165264578,0.3212677913691965,0.0
