cls,n,rate,lo,hi,dd_med,revert
1.5-2,217,0.2995391705069124,0.24251213669745966,0.3635403461680874,0.315153308116186,0.2903225806451613
2-3,82,0.4878048780487805,0.3826071216079986,0.5940941514344423,0.3974813988384448,0.14634146341463414
>=3,51,0.7843137254901961,0.6537337712118703,0.8750618875581144,0.7550376037345301,0.11764705882352941
