class,n_obs,crash_obs,dd_med_obs,revert_obs,netloss_obs,crash_null,crash_null_sd,revert_null,netloss_null
1.2-1.5,2562,0.05893832943013271,0.22083045379411548,0.4344262295081967,0.4894613583138173,0.18262109980156976,0.007105674808832155,0.5980832204713217,0.5918068267916884
1.5-2,868,0.1889400921658986,0.2782346147480418,0.19815668202764977,0.25806451612903225,0.32329977276594163,0.009196457766573738,0.31329663111625056,0.32897083932134424
2-3,264,0.3939393939393939,0.34585818758335296,0.14015151515151514,0.14772727272727273,0.5422228880178095,0.017388052751949695,0.2347378410617505,0.2233846533811365
>=3,108,0.7037037037037037,0.5556714853483615,0.12962962962962962,0.1111111111111111,0.8223728818776408,0.019013154741757472,0.20331692396460183,0.18689486270314354
